iter	Passed	Remaining
0	28	56423
1	56	56622
2	85	56842
3	111	55454
4	138	55393
5	165	55018
6	191	54415
7	217	54099
8	243	53920
9	270	53911
10	297	53810
11	324	53713
12	350	53513
13	377	53586
14	405	53697
15	432	53624
16	458	53519
17	486	53546
18	511	53282
19	539	53388
20	565	53289
21	590	53103
22	616	52957
23	641	52842
24	667	52745
25	693	52664
26	721	52692
27	747	52619
28	772	52530
29	797	52373
30	823	52315
31	850	52299
32	876	52265
33	903	52217
34	929	52182
35	954	52080
36	981	52067
37	1005	51934
38	1032	51912
39	1057	51833
40	1082	51740
41	1107	51631
42	1133	51577
43	1158	51481
44	1183	51399
45	1206	51239
46	1231	51187
47	1258	51199
48	1282	51080
49	1308	51035
50	1336	51058
51	1360	50954
52	1387	50953
53	1412	50911
54	1437	50821
55	1463	50793
56	1488	50730
57	1515	50737
58	1541	50728
59	1567	50683
60	1592	50606
61	1617	50569
62	1641	50470
63	1665	50387
64	1690	50336
65	1716	50294
66	1742	50274
67	1766	50186
68	1791	50134
69	1816	50079
70	1844	50121
71	1871	50122
72	1898	50122
73	1924	50086
74	1950	50068
75	1977	50061
76	2002	50016
77	2029	50002
78	2053	49945
79	2078	49876
80	2103	49831
81	2128	49783
82	2155	49787
83	2182	49776
84	2205	49693
85	2230	49648
86	2253	49553
87	2281	49568
88	2306	49529
89	2334	49541
90	2362	49557
91	2389	49556
92	2413	49499
93	2440	49480
94	2465	49446
95	2490	49401
96	2515	49355
97	2540	49298
98	2564	49249
99	2590	49227
100	2615	49168
101	2641	49159
102	2665	49095
103	2692	49079
104	2718	49061
105	2743	49027
106	2768	48984
107	2795	48969
108	2819	48906
109	2845	48896
110	2871	48861
111	2897	48838
112	2924	48834
113	2951	48821
114	2976	48781
115	2999	48716
116	3027	48721
117	3050	48647
118	3077	48650
119	3105	48656
120	3129	48601
121	3155	48571
122	3180	48535
123	3205	48489
124	3232	48485
125	3257	48451
126	3283	48425
127	3308	48382
128	3334	48357
129	3360	48339
130	3386	48315
131	3410	48270
132	3435	48228
133	3460	48192
134	3487	48178
135	3512	48138
136	3537	48107
137	3561	48055
138	3586	48015
139	3612	47997
140	3638	47974
141	3662	47927
142	3686	47871
143	3711	47839
144	3738	47828
145	3767	47839
146	3791	47792
147	3814	47729
148	3841	47721
149	3867	47699
150	3895	47696
151	3920	47662
152	3943	47610
153	3970	47594
154	3994	47547
155	4021	47531
156	4047	47517
157	4077	47540
158	4102	47498
159	4129	47488
160	4152	47430
161	4181	47439
162	4204	47389
163	4229	47353
164	4255	47329
165	4280	47291
166	4303	47239
167	4328	47202
168	4352	47160
169	4378	47133
170	4403	47096
171	4429	47075
172	4455	47058
173	4480	47024
174	4505	46989
175	4531	46961
176	4559	46958
177	4584	46929
178	4610	46899
179	4635	46866
180	4660	46831
181	4683	46786
182	4711	46777
183	4738	46770
184	4764	46741
185	4788	46700
186	4812	46659
187	4837	46625
188	4861	46582
189	4886	46547
190	4910	46509
191	4933	46456
192	4960	46441
193	4983	46393
